"ID","Напомена1","Креирано","Година","Количина","Наслов","Аутори","Рбр","ISBN","Задужење","Издавач","Полица","напомена1","Напомена2","Креирање"
"[858407,1464545788]","  ","2024-10-14A12:44:04.000532+0000","  ","  ","А","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545790]","  ","2024-10-14A12:44:05.000119+0000","  ","  ","1. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2006. ","  ","1 ","","  ","  ","  ",""," ",""
"[858407,1464545792]","  ","2024-10-14A12:44:05.000805+0000","  ","  ","2. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2007. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545793]","  ","2024-10-14A12:44:06.000291+0000","  ","  ","3. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2008. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545795]","  ","2024-10-14A12:44:06.000656+0000","  ","  ","4. Актуелна питања југословенског процесног законодавства – 1996.година ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545797]","  ","2024-10-14A12:44:06.000883+0000","  ","  ","5. Актуелна судска пракса из облигационих односа – Томислав Крсмановић – 2000. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545799]","  ","2024-10-14A12:44:07.000631+0000","  ","  ","6. Адресар институција и организација које се баве проблемом трговине људима у Црној Гори – 2007. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545800]","  ","2024-10-14A12:44:08.000057+0000","  ","  ","7. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2010. – 2 ком.","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545802]","  ","2024-10-14A12:44:08.000468+0000","  ","  ","8. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2011. – 2 ком.","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545804]","  ","2024-10-14A12:44:08.000769+0000","  ","  ","  ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545805]","  ","2024-10-14A12:44:09.000103+0000","  ","  ","Б","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545807]","  ","2024-10-14A12:44:09.000388+0000","  ","  ","1. Билтен Врховног суда 2008. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545808]","  ","2024-10-14A12:44:09.000694+0000","  ","  ","2. Билтен Врховног суда 2009. – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545811]","  ","2024-10-14A12:44:10.000033+0000","  ","  ","3. Билтен Врховног суда 2010. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545812]","  ","2024-10-14A12:44:10.000354+0000","  ","  ","4. Билтен Врховног суда 2013. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545814]","  ","2024-10-14A12:44:10.000764+0000","  ","  ","5. Билтен Врховног суда 2014. – књига 1 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545815]","  ","2024-10-14A12:44:11.000026+0000","  ","  ","6. Билтен Врховног суда 2014. – књига 2 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545817]","  ","2024-10-14A12:44:11.000318+0000","  ","  ","7. Билтен Врховног суда 2015. – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545819]","  ","2024-10-14A12:44:11.000635+0000","  ","  ","8. Билтен Врховног суда 2016. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545820]","  ","2024-10-14A12:44:11.000988+0000","  ","  ","9. Билтен Врховног суда 2017. – 7 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545822]","  ","2024-10-14A12:44:12.000352+0000","  ","  ","10. Билтен Врховног суда РЦГ 1994. – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545823]","  ","2024-10-14A12:44:12.000613+0000","  ","  ","11. Билтен Врховног суда РЦГ 1995. – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545825]","  ","2024-10-14A12:44:12.000929+0000","  ","  ","12. Билтен Врховног суда РЦГ 1996. – 3 ком. ","  "," ","","  ","  ","  ",""," ",""
